14:20:01      4272516  12008096     73.76    413132   4726164   3845040     14.37
14:30:01      4421320  11859292     72.84    414232   4763796   3503176     13.09
14:40:01      3716912  12563700     77.17    415144   4800640   4390144     16.40
14:50:01      4141904  12138708     74.56    416060   4848048   3648028     13.63
15:00:01      3664136  12616476     77.49    416700   4891720   4212464     15.74
15:10:01      3869520  12411092     76.23    417464   4940332   3744036     13.99
15:20:01      3209784  13070828     80.28    418336   4992252   4629112     17.29
15:30:01      3160032  13120580     80.59    419192   5029348   4501416     16.82
15:40:01      3435264  12845348     78.90    419328   5079852   3981052     14.87
15:50:01      1614112  14666500     90.09    419936   5134144   6462808     24.15
16:00:01      2024128  14256484     87.57    420524   5195580   5762412     21.53
16:10:01      2611668  13668944     83.96    421248   5256292   4747896     17.74
16:20:01      3255944  13024668     80.00    421076   5303412   3704644     13.84
16:30:01      3007260  13273352     81.53    421648   5357080   3936796     14.71
16:40:01      2947392  13333220     81.90    422384   5407828   3902416     14.58
16:50:01      2461772  13818840     84.88    422904   5454628   4548972     17.00
17:00:01      2146804  14133808     86.81    423048   5495552   5059272     18.90
17:10:01      3071476  13209136     81.13    423468   5532964   3498700     13.07
17:20:01      3007484  13273128     81.53    423992   5573348   3487740     13.03
17:30:01      2615820  13664792     83.93    424460   5612908   3927696     14.67
17:40:01      2532956  13747656     84.44    424920   5651328   3933940     14.70
17:50:01      2737244  13543368     83.19    425372   5686912   3532856     13.20
18:00:01      2709380  13571232     83.36    425844   5715100   3499324     13.07
18:10:01      3352396  12928216     79.41    351676   4802964   6030092     22.53
18:20:01      3266652  13013960     79.94    352816   4857036   5881168     21.97
18:30:01      3147688  13132924     80.67    353832   4905704   5711708     21.34
18:40:01      3410584  12870028     79.05    354824   4945796   5318560     19.87
18:50:01      3494412  12786200     78.54    355952   4983672   5167364     19.31
19:00:01      3444832  12835780     78.84    356888   5012752   5179616     19.35
19:10:01      2116544  14164068     87.00    357512   5047332   7225820     27.00
19:20:01      4489976  11790636     72.42    358184   5073532   3321840     12.41
19:30:01      4473664  11806948     72.52    358832   5095564   3283500     12.27
19:40:01      4432528  11848084     72.77    359500   5116460   3280256     12.26
19:50:01      4366520  11914092     73.18    360008   5136724   3293132     12.30
20:00:01      4348016  11932596     73.29    360676   5154220   3277640     12.25
20:10:01      4348120  11932492     73.29    361392   5174572   3220096     12.03
20:20:01      4289396  11991216     73.65    362164   5184496   3258824     12.18
20:30:01      4269676  12010936     73.77    362696   5201756   3235440     12.09
20:40:01      4143276  12137336     74.55    363332   5218728   3366992     12.58
20:50:01      4163404  12117208     74.43    364112   5235692   3277432     12.24
21:00:01      4123580  12157032     74.67    364724   5252704   3285640     12.28
21:10:01      4106644  12173968     74.78    365496   5271312   3246240     12.13
21:20:01      4089664  12190948     74.88    366116   5282824   3231448     12.07
21:30:01      4021156  12259456     75.30    366612   5298296   3282404     12.26
21:40:01      3989668  12290944     75.49    367160   5314744   3265196     12.20
21:50:01      3967784  12312828     75.63    367708   5331660   3245672     12.13
22:00:01      3927524  12353088     75.88    368288   5348188   3250504     12.14
22:10:01      3906156  12374456     76.01    368748   5359980   3242584     12.11
22:20:01      3885376  12395236     76.13    369304   5375008   3221452     12.04
22:30:01      3813568  12467044     76.58    369796   5389752   3256220     12.17
22:40:01      3774220  12506392     76.82    370368   5404508   3268612     12.21
22:50:01      3751108  12529504     76.96    371052   5419816   3267144     12.21
23:00:01      3689168  12591444     77.34    371524   5434152   3288624     12.29
23:10:01      3664144  12616468     77.49    372044   5447788   3275812     12.24
23:20:01      3581876  12698736     78.00    372624   5462472   3337480     12.47
23:30:01      3621060  12659552     77.76    373132   5476760   3258120     12.17
23:40:01      3554416  12726196     78.17    373872   5491676   3284216     12.27
23:50:01      3576860  12703752     78.03    373952   5483632   3254812     12.16
